agent_type,model,dataset,instance_id,bash_commands,test_executions,file_edits,num_turns
SWE-agent,Claude-3-Opus,lite,pytest-dev__pytest-5221,8,2,5,19
SWE-agent,Claude-3-Opus,lite,django__django-14580,17,3,2,25
SWE-agent,Claude-3-Opus,lite,sympy__sympy-18199,5,1,10,20
SWE-agent,Claude-3-Opus,lite,django__django-15819,10,2,3,20
SWE-agent,Claude-3-Opus,lite,sympy__sympy-22005,7,3,6,18
SWE-agent,Claude-3-Opus,lite,sympy__sympy-16281,10,1,2,20
SWE-agent,Claude-3-Opus,lite,django__django-14730,6,5,14,24
SWE-agent,Claude-3-Opus,lite,django__django-17051,5,4,12,21
SWE-agent,Claude-3-Opus,lite,django__django-15202,8,6,7,19
SWE-agent,Claude-3-Opus,lite,sympy__sympy-23262,10,2,4,21
SWE-agent,Claude-3-Opus,lite,pytest-dev__pytest-7432,7,6,7,18
SWE-agent,Claude-3-Opus,lite,pallets__flask-4045,7,4,7,21
SWE-agent,Claude-3-Opus,lite,django__django-14016,4,3,11,18
SWE-agent,Claude-3-Opus,lite,django__django-14534,7,5,8,20
SWE-agent,Claude-3-Opus,lite,django__django-15347,6,2,3,12
SWE-agent,Claude-3-Opus,lite,django__django-14608,9,3,3,16
SWE-agent,Claude-3-Opus,lite,astropy__astropy-12907,7,4,6,16
SWE-agent,Claude-3-Opus,lite,sphinx-doc__sphinx-8435,0,0,8,13
SWE-agent,Claude-3-Opus,lite,sympy__sympy-13177,5,3,4,13
SWE-agent,Claude-3-Opus,lite,django__django-12125,12,2,3,24
SWE-agent,Claude-3-Opus,lite,django__django-16527,1,0,1,4
SWE-agent,Claude-3-Opus,lite,django__django-11283,10,8,6,21
SWE-agent,Claude-3-Opus,lite,sympy__sympy-20590,8,3,5,21
SWE-agent,Claude-3-Opus,lite,django__django-14155,4,0,1,10
SWE-agent,Claude-3-Opus,lite,pydata__xarray-4493,2,0,11,19
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-10949,7,3,6,19
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-13496,6,1,1,13
SWE-agent,Claude-3-Opus,lite,django__django-14672,10,3,5,19
SWE-agent,Claude-3-Opus,lite,django__django-16139,3,0,1,8
SWE-agent,Claude-3-Opus,lite,django__django-11179,7,5,9,24
SWE-agent,Claude-3-Opus,lite,sympy__sympy-12236,5,3,7,18
SWE-agent,Claude-3-Opus,lite,sphinx-doc__sphinx-8713,8,2,3,14
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-25638,5,3,8,19
SWE-agent,Claude-3-Opus,lite,django__django-14752,1,0,5,9
SWE-agent,Claude-3-Opus,lite,django__django-14667,10,7,9,23
SWE-agent,Claude-3-Opus,lite,django__django-10924,6,2,7,19
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-13497,8,5,3,16
SWE-agent,Claude-3-Opus,lite,sympy__sympy-23191,8,2,3,17
SWE-agent,Claude-3-Opus,lite,sympy__sympy-12454,7,3,4,15
SWE-agent,Claude-3-Opus,lite,sympy__sympy-18532,6,4,9,21
SWE-agent,Claude-3-Opus,lite,django__django-13028,4,4,14,19
SWE-agent,Claude-3-Opus,lite,django__django-12589,6,5,7,15
SWE-agent,Claude-3-Opus,lite,django__django-14787,7,3,7,17
SWE-agent,Claude-3-Opus,lite,sphinx-doc__sphinx-8801,2,1,6,12
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-25079,5,5,7,15
SWE-agent,Claude-3-Opus,lite,sympy__sympy-18835,5,2,4,12
SWE-agent,Claude-3-Opus,lite,django__django-14382,3,0,2,9
SWE-agent,Claude-3-Opus,lite,sympy__sympy-15346,6,4,6,16
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-23987,8,1,2,19
SWE-agent,Claude-3-Opus,lite,django__django-11099,4,1,5,11
SWE-agent,Claude-3-Opus,lite,sympy__sympy-19254,5,0,10,18
SWE-agent,Claude-3-Opus,lite,django__django-16816,5,3,16,22
SWE-agent,Claude-3-Opus,lite,pallets__flask-4992,7,5,4,14
SWE-agent,Claude-3-Opus,lite,pylint-dev__pylint-7080,5,0,1,10
SWE-agent,Claude-3-Opus,lite,sympy__sympy-20049,5,3,4,12
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-13439,6,3,9,19
SWE-agent,Claude-3-Opus,lite,django__django-11630,2,2,10,21
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-23563,7,4,6,14
SWE-agent,Claude-3-Opus,lite,sphinx-doc__sphinx-11445,12,0,0,19
SWE-agent,Claude-3-Opus,lite,pytest-dev__pytest-6116,3,1,5,11
SWE-agent,Claude-3-Opus,lite,sympy__sympy-13915,6,2,5,19
SWE-agent,Claude-3-Opus,lite,django__django-11039,6,4,2,12
SWE-agent,Claude-3-Opus,lite,pallets__flask-5063,5,0,3,12
SWE-agent,Claude-3-Opus,lite,pytest-dev__pytest-7220,1,0,11,22
SWE-agent,Claude-3-Opus,lite,django__django-12184,2,0,4,12
SWE-agent,Claude-3-Opus,lite,sympy__sympy-20154,5,3,11,21
SWE-agent,Claude-3-Opus,lite,django__django-15061,3,0,1,7
SWE-agent,Claude-3-Opus,lite,sympy__sympy-15345,8,5,6,17
SWE-agent,Claude-3-Opus,lite,django__django-15498,9,2,3,20
SWE-agent,Claude-3-Opus,lite,django__django-16408,12,5,9,23
SWE-agent,Claude-3-Opus,lite,sphinx-doc__sphinx-10325,7,0,1,13
SWE-agent,Claude-3-Opus,lite,sphinx-doc__sphinx-8282,2,0,6,11
SWE-agent,Claude-3-Opus,lite,astropy__astropy-6938,8,2,5,19
SWE-agent,Claude-3-Opus,lite,psf__requests-3362,4,2,3,8
SWE-agent,Claude-3-Opus,lite,pytest-dev__pytest-7168,5,4,5,14
SWE-agent,Claude-3-Opus,lite,sphinx-doc__sphinx-7975,6,0,4,20
SWE-agent,Claude-3-Opus,lite,pytest-dev__pytest-7490,8,1,3,16
SWE-agent,Claude-3-Opus,lite,django__django-17087,11,6,6,22
SWE-agent,Claude-3-Opus,lite,pydata__xarray-3364,6,3,6,15
SWE-agent,Claude-3-Opus,lite,django__django-12915,2,0,2,6
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-22835,3,2,3,10
SWE-agent,Claude-3-Opus,lite,sympy__sympy-13437,11,1,7,22
SWE-agent,Claude-3-Opus,lite,astropy__astropy-14182,4,2,3,9
SWE-agent,Claude-3-Opus,lite,django__django-13757,9,4,4,18
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-26020,10,2,2,16
SWE-agent,Claude-3-Opus,lite,sympy__sympy-21612,4,1,2,15
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-22711,6,3,5,18
SWE-agent,Claude-3-Opus,lite,django__django-12983,5,2,3,11
SWE-agent,Claude-3-Opus,lite,django__django-11422,11,3,4,24
SWE-agent,Claude-3-Opus,lite,django__django-16873,6,2,17,24
SWE-agent,Claude-3-Opus,lite,django__django-11049,12,7,7,25
SWE-agent,Claude-3-Opus,lite,psf__requests-863,7,3,9,22
SWE-agent,Claude-3-Opus,lite,sympy__sympy-21847,5,2,4,12
SWE-agent,Claude-3-Opus,lite,django__django-14855,2,0,1,6
SWE-agent,Claude-3-Opus,lite,django__django-14017,7,4,11,22
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-25332,10,2,4,21
SWE-agent,Claude-3-Opus,lite,django__django-10914,10,4,4,18
SWE-agent,Claude-3-Opus,lite,pytest-dev__pytest-5103,8,4,6,17
SWE-agent,Claude-3-Opus,lite,django__django-12708,16,7,5,27
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-18869,5,1,4,15
SWE-agent,Claude-3-Opus,lite,django__django-12856,5,0,2,13
SWE-agent,Claude-3-Opus,lite,django__django-13265,11,6,8,24
SWE-agent,Claude-3-Opus,lite,django__django-15851,2,0,1,6
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-25498,8,1,2,18
SWE-agent,Claude-3-Opus,lite,sphinx-doc__sphinx-8721,7,0,6,18
SWE-agent,Claude-3-Opus,lite,sympy__sympy-21627,3,3,4,8
SWE-agent,Claude-3-Opus,lite,mwaskom__seaborn-2848,13,4,4,20
SWE-agent,Claude-3-Opus,lite,astropy__astropy-7746,2,1,11,18
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-14092,6,3,4,15
SWE-agent,Claude-3-Opus,lite,django__django-11999,5,5,14,21
SWE-agent,Claude-3-Opus,lite,pytest-dev__pytest-8906,6,5,10,21
SWE-agent,Claude-3-Opus,lite,sympy__sympy-11870,4,3,7,14
SWE-agent,Claude-3-Opus,lite,django__django-14997,9,3,7,23
SWE-agent,Claude-3-Opus,lite,django__django-13964,5,5,14,21
SWE-agent,Claude-3-Opus,lite,sympy__sympy-13146,5,4,5,11
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-10508,5,4,5,14
SWE-agent,Claude-3-Opus,lite,django__django-11133,6,2,5,19
SWE-agent,Claude-3-Opus,lite,django__django-13401,2,1,15,23
SWE-agent,Claude-3-Opus,lite,sympy__sympy-13480,5,3,5,13
SWE-agent,Claude-3-Opus,lite,sympy__sympy-17655,3,2,14,20
SWE-agent,Claude-3-Opus,lite,django__django-11964,12,5,4,19
SWE-agent,Claude-3-Opus,lite,django__django-11019,1,1,16,22
SWE-agent,Claude-3-Opus,lite,psf__requests-1963,8,6,9,21
SWE-agent,Claude-3-Opus,lite,pydata__xarray-4094,6,4,5,20
SWE-agent,Claude-3-Opus,lite,sympy__sympy-19487,10,1,2,19
SWE-agent,Claude-3-Opus,lite,django__django-15252,7,0,1,12
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-13142,7,2,9,19
SWE-agent,Claude-3-Opus,lite,django__django-14915,7,6,12,20
SWE-agent,Claude-3-Opus,lite,sympy__sympy-22714,4,2,4,11
SWE-agent,Claude-3-Opus,lite,sympy__sympy-17022,13,5,6,23
SWE-agent,Claude-3-Opus,lite,pytest-dev__pytest-5692,6,1,2,11
SWE-agent,Claude-3-Opus,lite,pylint-dev__pylint-6506,2,0,9,18
SWE-agent,Claude-3-Opus,lite,sympy__sympy-24152,5,2,3,11
SWE-agent,Claude-3-Opus,lite,pytest-dev__pytest-9359,14,4,6,22
SWE-agent,Claude-3-Opus,lite,django__django-13033,7,5,9,21
SWE-agent,Claude-3-Opus,lite,pytest-dev__pytest-5227,4,2,6,12
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-24970,5,2,3,9
SWE-agent,Claude-3-Opus,lite,sphinx-doc__sphinx-7738,2,0,10,20
SWE-agent,Claude-3-Opus,lite,sympy__sympy-13031,7,1,5,18
SWE-agent,Claude-3-Opus,lite,sympy__sympy-15011,6,4,8,19
SWE-agent,Claude-3-Opus,lite,sympy__sympy-24213,4,4,8,16
SWE-agent,Claude-3-Opus,lite,mwaskom__seaborn-3190,9,5,7,20
SWE-agent,Claude-3-Opus,lite,sympy__sympy-24909,7,5,8,19
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-26011,9,2,3,19
SWE-agent,Claude-3-Opus,lite,django__django-16595,6,3,5,15
SWE-agent,Claude-3-Opus,lite,sympy__sympy-14317,10,4,6,19
SWE-agent,Claude-3-Opus,lite,django__django-15400,7,1,3,13
SWE-agent,Claude-3-Opus,lite,pytest-dev__pytest-5413,4,3,5,10
SWE-agent,Claude-3-Opus,lite,django__django-11742,8,2,3,16
SWE-agent,Claude-3-Opus,lite,sympy__sympy-20442,7,6,9,20
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-25311,7,4,8,19
SWE-agent,Claude-3-Opus,lite,sympy__sympy-20322,8,3,5,20
SWE-agent,Claude-3-Opus,lite,mwaskom__seaborn-3407,3,2,4,8
SWE-agent,Claude-3-Opus,lite,sympy__sympy-13647,5,3,4,12
SWE-agent,Claude-3-Opus,lite,pytest-dev__pytest-5495,11,2,3,19
SWE-agent,Claude-3-Opus,lite,pytest-dev__pytest-11143,7,0,2,15
SWE-agent,Claude-3-Opus,lite,sympy__sympy-18698,13,2,3,22
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-10297,6,3,8,19
SWE-agent,Claude-3-Opus,lite,django__django-12113,3,2,2,7
SWE-agent,Claude-3-Opus,lite,sympy__sympy-13971,12,4,6,23
SWE-agent,Claude-3-Opus,lite,sympy__sympy-21171,8,1,2,17
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-13779,5,3,7,15
SWE-agent,Claude-3-Opus,lite,pylint-dev__pylint-5859,2,0,8,19
SWE-agent,Claude-3-Opus,lite,django__django-16379,1,0,1,4
SWE-agent,Claude-3-Opus,lite,django__django-15790,11,0,5,20
SWE-agent,Claude-3-Opus,lite,django__django-12497,3,0,2,9
SWE-agent,Claude-3-Opus,lite,sympy__sympy-20639,6,2,5,15
SWE-agent,Claude-3-Opus,lite,django__django-16400,5,3,14,21
SWE-agent,Claude-3-Opus,lite,sympy__sympy-15678,3,2,14,20
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-23314,9,2,3,21
SWE-agent,Claude-3-Opus,lite,django__django-15814,3,3,15,20
SWE-agent,Claude-3-Opus,lite,sphinx-doc__sphinx-8273,4,0,9,20
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-25442,8,3,4,14
SWE-agent,Claude-3-Opus,lite,django__django-11905,1,1,12,23
SWE-agent,Claude-3-Opus,lite,astropy__astropy-14365,3,3,7,20
SWE-agent,Claude-3-Opus,lite,sympy__sympy-21055,7,3,8,19
SWE-agent,Claude-3-Opus,lite,sympy__sympy-13043,4,1,3,10
SWE-agent,Claude-3-Opus,lite,pylint-dev__pylint-7114,10,0,2,24
SWE-agent,Claude-3-Opus,lite,sympy__sympy-14396,5,1,11,19
SWE-agent,Claude-3-Opus,lite,sympy__sympy-18087,11,5,6,21
SWE-agent,Claude-3-Opus,lite,sympy__sympy-12481,5,3,4,13
SWE-agent,Claude-3-Opus,lite,django__django-12308,2,0,3,8
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-14894,5,3,7,15
SWE-agent,Claude-3-Opus,lite,sphinx-doc__sphinx-8474,12,0,0,17
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-12471,8,4,5,17
SWE-agent,Claude-3-Opus,lite,sympy__sympy-16503,8,4,5,18
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-11040,8,4,6,19
SWE-agent,Claude-3-Opus,lite,astropy__astropy-14995,7,3,4,14
SWE-agent,Claude-3-Opus,lite,django__django-13158,7,6,11,25
SWE-agent,Claude-3-Opus,lite,django__django-16229,9,3,13,25
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-11281,6,0,3,18
SWE-agent,Claude-3-Opus,lite,sympy__sympy-12171,16,4,5,24
SWE-agent,Claude-3-Opus,lite,django__django-16255,13,2,12,26
SWE-agent,Claude-3-Opus,lite,sympy__sympy-15609,6,3,8,17
SWE-agent,Claude-3-Opus,lite,pylint-dev__pylint-7228,1,0,3,7
SWE-agent,Claude-3-Opus,lite,django__django-13590,11,8,6,23
SWE-agent,Claude-3-Opus,lite,sphinx-doc__sphinx-7686,3,0,18,26
SWE-agent,Claude-3-Opus,lite,django__django-11797,6,1,12,22
SWE-agent,Claude-3-Opus,lite,mwaskom__seaborn-3010,5,1,13,20
SWE-agent,Claude-3-Opus,lite,sympy__sympy-17630,6,4,5,19
SWE-agent,Claude-3-Opus,lite,sympy__sympy-13471,5,2,5,15
SWE-agent,Claude-3-Opus,lite,sympy__sympy-13895,6,3,6,20
SWE-agent,Claude-3-Opus,lite,django__django-13448,9,0,0,19
SWE-agent,Claude-3-Opus,lite,django__django-12284,4,3,15,22
SWE-agent,Claude-3-Opus,lite,django__django-15738,13,5,8,24
SWE-agent,Claude-3-Opus,lite,sympy__sympy-16106,8,4,8,20
SWE-agent,Claude-3-Opus,lite,sphinx-doc__sphinx-8595,13,0,4,24
SWE-agent,Claude-3-Opus,lite,sympy__sympy-13773,10,3,4,20
SWE-agent,Claude-3-Opus,lite,django__django-13315,11,0,2,19
SWE-agent,Claude-3-Opus,lite,sympy__sympy-22840,8,1,2,17
SWE-agent,Claude-3-Opus,lite,sympy__sympy-24066,5,4,10,19
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-15535,4,4,4,11
SWE-agent,Claude-3-Opus,lite,psf__requests-2674,5,3,4,13
SWE-agent,Claude-3-Opus,lite,sympy__sympy-12419,6,2,3,15
SWE-agent,Claude-3-Opus,lite,sphinx-doc__sphinx-8627,12,0,8,22
SWE-agent,Claude-3-Opus,lite,django__django-12700,3,1,8,20
SWE-agent,Claude-3-Opus,lite,django__django-15213,5,4,12,23
SWE-agent,Claude-3-Opus,lite,django__django-13658,7,1,7,18
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-24265,5,2,5,13
SWE-agent,Claude-3-Opus,lite,django__django-11620,7,0,1,9
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-25747,4,3,12,19
SWE-agent,Claude-3-Opus,lite,sphinx-doc__sphinx-8506,13,0,3,23
SWE-agent,Claude-3-Opus,lite,django__django-16820,3,0,0,7
SWE-agent,Claude-3-Opus,lite,django__django-11815,10,3,4,22
SWE-agent,Claude-3-Opus,lite,django__django-11848,5,2,4,13
SWE-agent,Claude-3-Opus,lite,django__django-11910,11,5,8,25
SWE-agent,Claude-3-Opus,lite,django__django-13551,1,0,2,5
SWE-agent,Claude-3-Opus,lite,django__django-12747,2,1,19,23
SWE-agent,Claude-3-Opus,lite,django__django-11001,6,4,13,20
SWE-agent,Claude-3-Opus,lite,django__django-15320,3,3,13,19
SWE-agent,Claude-3-Opus,lite,django__django-13321,7,2,7,18
SWE-agent,Claude-3-Opus,lite,sympy__sympy-16792,5,1,2,11
SWE-agent,Claude-3-Opus,lite,sympy__sympy-18057,3,1,12,18
SWE-agent,Claude-3-Opus,lite,pydata__xarray-5131,4,2,10,17
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-14983,8,3,6,19
SWE-agent,Claude-3-Opus,lite,django__django-11583,10,4,6,20
SWE-agent,Claude-3-Opus,lite,pytest-dev__pytest-7373,7,3,9,19
SWE-agent,Claude-3-Opus,lite,sympy__sympy-14308,9,7,9,21
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-13241,8,4,4,18
SWE-agent,Claude-3-Opus,lite,django__django-13447,4,0,6,13
SWE-agent,Claude-3-Opus,lite,sympy__sympy-15308,8,2,6,17
SWE-agent,Claude-3-Opus,lite,sympy__sympy-18189,7,3,2,16
SWE-agent,Claude-3-Opus,lite,sympy__sympy-21614,11,1,2,20
SWE-agent,Claude-3-Opus,lite,sympy__sympy-11400,4,3,9,20
SWE-agent,Claude-3-Opus,lite,django__django-14238,10,4,9,22
SWE-agent,GPT-4,lite,scikit-learn__scikit-learn-15512,6,5,12,32
SWE-agent,GPT-4,lite,sympy__sympy-20212,9,2,8,32
SWE-agent,GPT-4,lite,django__django-14411,6,0,2,16
SWE-agent,GPT-4,lite,django__django-13230,2,0,8,15
SWE-agent,GPT-4,lite,django__django-12470,6,2,3,31
SWE-agent,GPT-4,lite,scikit-learn__scikit-learn-25570,3,2,20,29
SWE-agent,GPT-4,lite,django__django-13768,2,0,9,16
SWE-agent,GPT-4,lite,django__django-13925,3,0,2,6
SWE-agent,GPT-4,lite,sympy__sympy-14774,4,2,4,10
SWE-agent,GPT-4,lite,django__django-11564,11,6,9,27
SWE-agent,GPT-4,lite,matplotlib__matplotlib-24334,10,1,2,34
SWE-agent,GPT-4,lite,sympy__sympy-21379,9,2,3,19
SWE-agent,GPT-4,lite,matplotlib__matplotlib-24149,6,2,3,12
SWE-agent,GPT-4,lite,django__django-15902,5,2,3,19
SWE-agent,GPT-4,lite,pylint-dev__pylint-7993,4,1,7,15
SWE-agent,GPT-4,lite,sympy__sympy-16988,4,2,3,34
SWE-agent,GPT-4,lite,matplotlib__matplotlib-23476,3,1,5,10
SWE-agent,GPT-4,lite,scikit-learn__scikit-learn-14087,9,9,22,36
SWE-agent,GPT-4,lite,sympy__sympy-24102,7,2,3,32
SWE-agent,GPT-4,lite,sympy__sympy-23117,3,1,2,32
SWE-agent,GPT-4,lite,matplotlib__matplotlib-23913,8,2,4,30
SWE-agent,GPT-4,lite,psf__requests-2317,4,1,3,10
SWE-agent,GPT-4,lite,django__django-13933,3,0,2,9
SWE-agent,GPT-4,lite,sphinx-doc__sphinx-10451,17,1,2,34
SWE-agent,GPT-4,lite,django__django-12286,4,2,3,9
SWE-agent,GPT-4,lite,matplotlib__matplotlib-25433,9,1,2,20
SWE-agent,GPT-4,lite,matplotlib__matplotlib-23562,4,2,3,10
SWE-agent,GPT-4,lite,pytest-dev__pytest-8365,5,3,6,14
SWE-agent,GPT-4,lite,django__django-15781,7,0,1,20
SWE-agent,GPT-4,lite,matplotlib__matplotlib-23299,11,2,7,33
SWE-agent,GPT-4,lite,django__django-15789,3,0,3,10
SWE-agent,GPT-4,lite,django__django-13660,4,2,5,12
SWE-agent,GPT-4,lite,psf__requests-2148,1,0,7,13
SWE-agent,GPT-4,lite,django__django-16041,12,7,15,35
SWE-agent,GPT-4,lite,pytest-dev__pytest-11148,5,3,8,16
SWE-agent,GPT-4,lite,pydata__xarray-4248,7,0,1,15
SWE-agent,GPT-4,lite,django__django-15388,7,1,3,17
SWE-agent,GPT-4,lite,scikit-learn__scikit-learn-13584,4,2,5,12
SWE-agent,GPT-4,lite,django__django-13710,3,0,17,25
SWE-agent,GPT-4,lite,scikit-learn__scikit-learn-25500,3,2,3,9
SWE-agent,GPT-4,lite,django__django-12453,1,0,3,10
SWE-agent,GPT-4,lite,django__django-13220,6,3,8,21
SWE-agent,GPT-4,lite,sympy__sympy-17139,6,3,4,13
SWE-agent,GPT-4,lite,django__django-12908,7,7,21,36
SWE-agent,GPT-4,lite,sympy__sympy-14817,5,2,4,12
SWE-agent,GPT-4,lite,django__django-16910,16,3,6,32
SWE-agent,GPT-4,lite,django__django-15695,8,8,24,34
SWE-agent,GPT-4,lite,sympy__sympy-18621,7,4,12,31
SWE-agent,GPT-4,lite,django__django-14999,2,0,2,7
SWE-agent,GPT-4,lite,matplotlib__matplotlib-23964,3,2,3,8
SWE-agent,GPT-4,lite,sympy__sympy-19007,9,6,9,24
SWE-agent,GPT-4,lite,sympy__sympy-11897,7,1,8,25
SWE-agent,GPT-4,lite,sympy__sympy-14024,14,1,5,33
SWE-agent,GPT-4,lite,django__django-16046,5,3,8,17
SWE-agent,GPT-4,lite,django__django-15996,6,3,4,13
SWE-agent,GPT-4,lite,pytest-dev__pytest-5221,7,1,3,14
SWE-agent,GPT-4,lite,django__django-14580,5,2,6,13
SWE-agent,GPT-4,lite,sympy__sympy-18199,3,1,17,27
SWE-agent,GPT-4,lite,django__django-15819,2,1,3,8
SWE-agent,GPT-4,lite,sympy__sympy-22005,4,2,4,12
SWE-agent,GPT-4,lite,sympy__sympy-16281,5,3,4,12
SWE-agent,GPT-4,lite,django__django-14730,8,1,3,14
SWE-agent,GPT-4,lite,django__django-17051,6,0,3,21
SWE-agent,GPT-4,lite,django__django-15202,8,2,3,22
SWE-agent,GPT-4,lite,sympy__sympy-23262,6,2,4,14
SWE-agent,GPT-4,lite,pytest-dev__pytest-7432,6,3,4,13
